brand,配對數,有瀏覽,有加購,有移除,有購買,瀏覽且加購,瀏覽加購且購買,瀏覽→加購%,加購→購買%,加購後放棄%,放棄配對數,無瀏覽直接加購%
sawa,961.0,743.0,241.0,116.0,59.0,101.0,16.0,13.593539703903096,12.033195020746888,87.96680497925311,212.0,58.09128630705395
kiss,9181.0,7501.0,2021.0,977.0,416.0,894.0,125.0,11.918410878549526,12.073231073725879,87.92676892627412,1777.0,55.76447303315191
roubloff,48415.0,30609.0,16190.0,9018.0,4620.0,5618.0,770.0,18.354078865693097,12.124768375540457,87.87523162445953,14227.0,65.29956763434218
vilenta,3265.0,1638.0,1318.0,778.0,333.0,277.0,32.0,16.91086691086691,12.139605462822459,87.86039453717754,1158.0,78.98330804248862
konad,12391.0,9057.0,2931.0,1748.0,757.0,900.0,109.0,9.937065253395163,12.248379392698737,87.75162060730126,2572.0,69.29375639713409
kims,3874.0,3601.0,388.0,154.0,63.0,195.0,30.0,5.415162454873646,12.371134020618557,87.62886597938144,340.0,49.74226804123711
miskin,1117.0,897.0,249.0,152.0,52.0,120.0,15.0,13.377926421404682,12.449799196787147,87.55020080321285,218.0,51.80722891566265
laboratorium,3231.0,2314.0,890.0,477.0,211.0,326.0,38.0,14.088159031979256,12.47191011235955,87.52808988764045,779.0,63.370786516853926
max,24669.0,22023.0,3280.0,1917.0,886.0,1987.0,270.0,9.022385687690141,12.53048780487805,87.46951219512195,2869.0,39.420731707317074
shik,36440.0,30480.0,6683.0,2993.0,1483.0,2694.0,374.0,8.838582677165356,12.629058805925483,87.37094119407452,5839.0,59.6887625317971
bpw.style,301162.0,147962.0,124931.0,63404.0,37765.0,26877.0,4003.0,18.164799070031496,12.762244759107027,87.23775524089298,108987.0,78.48652456155799
yllozure,2933.0,1923.0,924.0,503.0,202.0,256.0,45.0,13.312532501300053,12.770562770562771,87.22943722943724,806.0,72.2943722943723
irisk,673795.0,353556.0,267627.0,141033.0,73298.0,57798.0,8460.0,16.347622441706548,12.915737201403447,87.08426279859655,233061.0,78.40352430808551
artex,18074.0,11458.0,5876.0,3077.0,1682.0,1811.0,238.0,15.805550706929655,12.916950306330838,87.08304969366917,5117.0,69.17971409121851
chi,3791.0,3072.0,812.0,331.0,182.0,311.0,54.0,10.123697916666668,12.931034482758621,87.06896551724138,707.0,61.69950738916257
rosi,29934.0,17543.0,10629.0,5816.0,3160.0,3042.0,422.0,17.34024967223394,12.936306331733935,87.06369366826607,9254.0,71.38018628281118
polarus,24810.0,21899.0,3537.0,2117.0,867.0,2000.0,312.0,9.13283711585004,12.948826689284704,87.05117331071528,3079.0,43.45490528696636
